Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Fiyat,Şehir,Binanın_Kat_Sayısı,Yatırıma_Uygunluk,Takas,Banyo_Sayısı,Oda_Buyuklugu,Banyo_Orani,Isıtma_Tipi_Doğalgaz Sobalı,Isıtma_Tipi_Güneş Enerjisi,Isıtma_Tipi_Isıtma Yok,Isıtma_Tipi_Jeotermal,Isıtma_Tipi_Kat Kaloriferi,Isıtma_Tipi_Klimalı,Isıtma_Tipi_Kombi Doğalgaz,Isıtma_Tipi_Merkezi (Pay Ölçer),Isıtma_Tipi_Merkezi Doğalgaz,Isıtma_Tipi_Merkezi Kömür,Isıtma_Tipi_Sobalı,Isıtma_Tipi_Yerden Isıtma,Isıtma_Tipi_Bilinmiyor,Kullanım_Durumu_Kiracı Oturuyor,Kullanım_Durumu_Mülk Sahibi Oturuyor,Kullanım_Durumu_Bilinmiyor,Tapu_Durumu_Bilinmiyor,Tapu_Durumu_Hisseli Tapu,Tapu_Durumu_Kat Mülkiyeti,Tapu_Durumu_Kat İrtifakı,Tapu_Durumu_Müstakil Tapulu,Tapu_Durumu_nan
140,160.0,4.0,3.0,1,7.5,2530000.0,adana,5,1,2,1.0,35.0,0.25,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
100,125.0,3.0,3.0,1,7.5,1960000.0,adana,7,1,2,1.0,33.333333333333336,0.3333333333333333,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
105,135.0,4.0,1.0,1,7.5,1650000.0,adana,4,0,2,2.0,26.25,0.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
130,145.0,4.0,,1,7.5,2250000.0,adana,7,0,2,1.0,32.5,0.25,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
132,185.0,4.0,2.0,1,18.0,3000000.0,adana,10,1,2,1.0,33.0,0.25,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
127,128.0,3.0,,1,21.0,3950000.0,adana,2,0,2,1.0,42.333333333333336,0.3333333333333333,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
120,140.0,4.0,12.0,0,0.0,2950000.0,adana,13,0,0,2.0,30.0,0.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
140,165.0,4.0,9.0,1,18.0,1670000.0,adana,10,1,2,1.0,35.0,0.25,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
135,150.0,4.0,1.0,1,18.0,2275000.0,adana,7,0,1,2.0,33.75,0.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
80,100.0,3.0,4.0,1,0.0,1480000.0,adana,4,0,2,2.0,26.666666666666668,0.6666666666666666,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
100,130.0,4.0,3.0,1,1.0,2150000.0,adana,7,0,1,2.0,25.0,0.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
155,180.0,4.0,4.0,1,0.0,3350000.0,adana,12,1,1,2.0,38.75,0.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
